,repo,commit,issue,pull,total
10,grimoirelab-perceval,201,22,80,303
2,grimoirelab-bestiary,200,3,26,229
3,grimoirelab-elk,115,11,74,200
9,grimoirelab-mordred,97,6,40,143
5,grimoirelab-kibiter,92,0,21,113
1,grimoirelab,70,18,18,106
4,grimoirelab-hatstall,51,3,12,66
15,grimoirelab-sortinghat,35,10,14,59
11,grimoirelab-perceval-mozilla,35,3,12,50
17,grimoirelab-tutorial,35,5,5,45
18,metrics,19,9,16,44
14,grimoirelab-sigils,24,4,12,40
7,grimoirelab-kingarthur,21,3,12,36
20,website,13,15,2,30
21,wg-diversity-inclusion,18,3,6,27
0,governance,15,2,9,26
8,grimoirelab-manuscripts,8,8,9,25
16,grimoirelab-toolkit,15,1,5,21
6,grimoirelab-kidash,13,2,5,20
12,grimoirelab-perceval-opnfv,12,1,5,18
13,grimoirelab-perceval-puppet,12,1,5,18
22,whitepaper,4,2,3,9
19,prospector,0,3,0,3
